sitename,county,aqi,pollutant,status,co,pm2.5,pm2.5_avg,nox
大園,桃園市,29,,良好,0.16,7.0,6.6,14.2
桃園,桃園市,38,,良好,0.34,4.0,7.2,18.0
大同,台北市,61,二氧化氮,普通,1.28,10.0,9.7,92.0
松山,台北市,55,二氧化氮,普通,0.31,6.0,7.6,33.4
古亭,台北市,36,,良好,0.29,5.0,4.7,16.7
萬華,台北市,53,二氧化氮,普通,0.35,7.0,6.0,28.5
中山,台北市,54,二氧化氮,普通,0.5,8.0,8.2,35.3
士林,台北市,29,,良好,0.24,0.0,5.2,13.5
淡水,新北市,32,,良好,0.23,8.0,7.7,14.0
林口,新北市,38,,良好,0.26,7.0,7.5,18.5
菜寮,新北市,45,,良好,0.36,4.0,4.0,21.1
新莊,新北市,43,,良好,0.34,7.0,6.3,20.2
板橋,新北市,52,二氧化氮,普通,0.41,6.0,6.9,26.9
土城,新北市,52,二氧化氮,普通,0.53,3.0,4.1,26.1
新店,新北市,36,,良好,0.29,5.0,4.5,17.5
汐止,新北市,45,,良好,0.23,10.0,8.2,21.0
基隆,基隆市,33,,良好,0.27,5.0,6.7,11.2
嘉義（東區）,嘉義市,70,細懸浮微粒,普通,0.55,22.0,19.5,40.4
屏東(枋山),屏東縣,76,細懸浮微粒,普通,0.2,2.0,21.7,6.2
臺南（南化）,台南市,55,細懸浮微粒,普通,0.29,19.0,14.1,9.7
新北(樹林),新北市,51,二氧化氮,普通,0.38,8.0,9.2,32.3
屏東（琉球）,屏東縣,51,細懸浮微粒,普通,0.26,12.0,12.5,6.6
南投（鹿谷）,南投縣,44,,良好,0.3,15.0,11.0,12.4
高雄（湖內）,高雄市,70,細懸浮微粒,普通,0.28,15.0,19.4,15.2
宜蘭（三星）,宜蘭縣,29,,良好,0.13,2.0,2.8,2.3
林森,台南市,68,懸浮微粒,普通,0.63,11.0,17.2,26.1
員林,彰化縣,52,細懸浮微粒,普通,0.34,12.0,13.0,22.3
大城,彰化縣,51,懸浮微粒,普通,0.2,8.0,11.8,14.2
富貴角,新北市,53,細懸浮微粒,普通,0.06,9.0,13.3,0.5
麥寮,雲林縣,57,懸浮微粒,普通,0.3,10.0,9.1,14.5
關山,台東縣,29,,良好,0.22,6.0,3.5,7.0
馬公,澎湖縣,54,懸浮微粒,普通,0.19,10.0,11.6,3.6
金門,金門縣,81,細懸浮微粒,普通,0.28,21.0,23.6,11.8
馬祖,連江縣,76,細懸浮微粒,普通,0.2,14.0,21.5,6.2
埔里,南投縣,59,細懸浮微粒,普通,0.37,22.0,15.5,10.7
復興,高雄市,72,細懸浮微粒,普通,0.55,23.0,20.1,26.0
永和,新北市,35,,良好,0.43,6.0,8.8,20.3
竹山,南投縣,71,懸浮微粒,普通,0.35,23.0,19.5,18.7
中壢,桃園市,50,,良好,0.68,9.0,9.5,36.8
三重,新北市,59,二氧化氮,普通,1.16,11.0,10.5,89.4
冬山,宜蘭縣,28,,良好,0.14,7.0,6.8,4.2
宜蘭,宜蘭縣,33,,良好,0.18,5.0,8.2,6.2
陽明,台北市,36,,良好,0.15,1.0,1.6,2.0
花蓮,花蓮縣,38,,良好,0.44,9.0,3.2,18.5
臺東,台東縣,28,,良好,0.33,5.0,2.4,9.9
恆春,屏東縣,36,,良好,0.13,3.0,2.7,1.8
潮州,屏東縣,69,細懸浮微粒,普通,0.34,14.0,19.0,10.1
屏東,屏東縣,76,細懸浮微粒,普通,0.39,23.0,21.5,22.6
小港,高雄市,75,細懸浮微粒,普通,0.49,21.0,21.2,28.2
前鎮,高雄市,69,細懸浮微粒,普通,0.51,21.0,19.0,28.3
前金,高雄市,64,細懸浮微粒,普通,0.36,19.0,17.1,20.7
左營,高雄市,70,細懸浮微粒,普通,0.33,23.0,19.5,17.1
楠梓,高雄市,86,細懸浮微粒,普通,0.4,29.0,25.2,23.1
林園,高雄市,70,細懸浮微粒,普通,0.4,24.0,19.6,26.1
大寮,高雄市,81,細懸浮微粒,普通,0.51,35.0,23.4,42.8
鳳山,高雄市,76,細懸浮微粒,普通,0.75,30.0,21.8,45.4
仁武,高雄市,81,細懸浮微粒,普通,0.43,23.0,23.6,32.3
橋頭,高雄市,84,細懸浮微粒,普通,0.38,24.0,24.5,21.8
美濃,高雄市,63,細懸浮微粒,普通,0.37,23.0,17.0,11.5
臺南,台南市,69,懸浮微粒,普通,0.33,17.0,18.7,17.7
安南,台南市,71,懸浮微粒,普通,0.28,16.0,19.2,13.9
善化,台南市,72,細懸浮微粒,普通,0.25,16.0,20.1,15.2
新營,台南市,66,細懸浮微粒,普通,0.31,16.0,18.1,17.6
嘉義,嘉義市,66,細懸浮微粒,普通,0.34,18.0,18.1,15.3
臺西,雲林縣,57,懸浮微粒,普通,0.25,7.0,9.1,12.5
朴子,嘉義縣,58,懸浮微粒,普通,0.3,14.0,11.6,17.2
新港,嘉義縣,60,懸浮微粒,普通,0.28,15.0,14.8,15.4
崙背,雲林縣,65,細懸浮微粒,普通,0.31,20.0,17.5,17.4
斗六,雲林縣,73,細懸浮微粒,普通,0.33,26.0,20.6,18.3
南投,南投縣,67,細懸浮微粒,普通,0.37,20.0,18.2,19.0
二林,彰化縣,57,懸浮微粒,普通,0.34,18.0,9.2,13.8
線西,彰化縣,28,,良好,0.19,1.0,3.1,9.3
彰化,彰化縣,50,,良好,0.42,5.0,8.8,25.0
西屯,台中市,37,,良好,0.24,9.0,8.7,14.0
忠明,台中市,45,,良好,0.38,8.0,10.3,22.0
大里,台中市,54,二氧化氮,普通,0.49,7.0,9.7,31.9
沙鹿,台中市,28,,良好,0.23,6.0,6.1,12.8
豐原,台中市,38,,良好,0.33,13.0,9.5,17.4
三義,苗栗縣,28,,良好,0.18,5.0,4.4,3.5
苗栗,苗栗縣,28,,良好,0.24,1.0,3.9,9.9
頭份,苗栗縣,27,,良好,0.21,4.0,5.7,11.3
新竹,新竹市,36,,良好,0.29,9.0,7.5,16.1
竹東,新竹縣,28,,良好,0.18,4.0,3.1,9.8
湖口,新竹縣,36,,良好,0.22,0.0,3.9,16.3
龍潭,桃園市,25,,良好,0.21,3.0,3.8,11.4
平鎮,桃園市,43,,良好,0.39,8.0,8.4,22.1
觀音,桃園市,30,,良好,0.14,5.0,7.5,8.5
大園,桃園市,33,,良好,0.17,7.0,7.1,16.7
桃園,桃園市,43,,良好,0.36,9.0,7.6,20.7
大同,台北市,61,二氧化氮,普通,1.04,14.0,9.3,88.9
松山,台北市,53,二氧化氮,普通,0.28,6.0,8.1,30.2
古亭,台北市,33,,良好,0.25,5.0,5.0,15.2
萬華,台北市,52,二氧化氮,普通,0.33,3.0,6.5,27.5
中山,台北市,54,二氧化氮,普通,0.46,8.0,8.3,34.4
士林,台北市,31,,良好,0.23,3.0,6.5,15.3
淡水,新北市,35,,良好,0.29,5.0,7.7,12.3
林口,新北市,50,,良好,0.3,7.0,7.7,25.3
菜寮,新北市,43,,良好,0.36,3.0,4.1,19.6
新莊,新北市,45,,良好,0.3,4.0,6.5,21.2
板橋,新北市,48,,良好,0.33,7.0,7.4,22.6
土城,新北市,43,,良好,0.36,3.0,4.3,19.4
新店,新北市,43,,良好,0.31,2.0,4.7,19.9
汐止,新北市,48,,良好,0.24,7.0,7.9,23.3
基隆,基隆市,34,,良好,0.2,7.0,7.3,6.4
嘉義（東區）,嘉義市,68,細懸浮微粒,普通,0.33,21.0,18.7,27.5
屏東(枋山),屏東縣,87,細懸浮微粒,普通,0.32,24.0,25.7,11.2
臺南（南化）,台南市,51,細懸浮微粒,普通,0.3,20.0,12.5,10.2
新北(樹林),新北市,55,二氧化氮,普通,0.36,5.0,9.8,43.9
屏東（琉球）,屏東縣,53,細懸浮微粒,普通,0.25,11.0,13.1,6.3
南投（鹿谷）,南投縣,38,,良好,0.29,12.0,9.5,13.1
高雄（湖內）,高雄市,72,細懸浮微粒,普通,0.27,21.0,20.1,14.5
宜蘭（三星）,宜蘭縣,29,,良好,0.13,3.0,3.0,2.6
林森,台南市,69,細懸浮微粒,普通,0.53,18.0,19.0,19.0
員林,彰化縣,53,細懸浮微粒,普通,0.3,19.0,13.1,18.1
大城,彰化縣,51,懸浮微粒,普通,0.21,13.0,12.4,13.0
富貴角,新北市,60,細懸浮微粒,普通,0.06,8.0,15.8,0.7
麥寮,雲林縣,55,懸浮微粒,普通,0.27,10.0,9.3,13.6
關山,台東縣,29,,良好,0.21,2.0,2.8,7.8
馬公,澎湖縣,54,懸浮微粒,普通,0.18,14.0,11.5,3.4
金門,金門縣,82,細懸浮微粒,普通,0.29,20.0,23.7,11.3
馬祖,連江縣,80,細懸浮微粒,普通,0.21,15.0,23.2,6.3
埔里,南投縣,53,細懸浮微粒,普通,0.33,15.0,13.4,8.5
復興,高雄市,69,細懸浮微粒,普通,0.45,22.0,19.2,18.9
永和,新北市,43,,良好,0.35,5.0,9.1,26.5
竹山,南投縣,68,懸浮微粒,普通,0.33,25.0,18.2,16.9
中壢,桃園市,51,二氧化氮,普通,0.44,5.0,10.2,36.2
三重,新北市,59,二氧化氮,普通,0.85,10.0,10.9,87.8
冬山,宜蘭縣,28,,良好,0.15,5.0,6.9,9.8
宜蘭,宜蘭縣,34,,良好,0.17,6.0,8.5,6.1
陽明,台北市,35,,良好,0.15,0.0,1.9,2.1
花蓮,花蓮縣,26,,良好,0.34,2.0,1.7,13.1
臺東,台東縣,28,,良好,0.23,0.0,2.1,7.8
恆春,屏東縣,36,,良好,0.13,5.0,2.4,1.7
潮州,屏東縣,72,細懸浮微粒,普通,0.38,22.0,20.3,12.5
屏東,屏東縣,75,細懸浮微粒,普通,0.34,21.0,21.2,19.8
小港,高雄市,74,細懸浮微粒,普通,0.36,22.0,20.9,18.0
前鎮,高雄市,66,細懸浮微粒,普通,0.38,20.0,17.8,20.6
前金,高雄市,62,細懸浮微粒,普通,0.3,18.0,16.6,14.3
左營,高雄市,69,細懸浮微粒,普通,0.3,19.0,19.0,16.7
楠梓,高雄市,86,細懸浮微粒,普通,0.37,26.0,25.4,22.6
林園,高雄市,67,細懸浮微粒,普通,0.33,19.0,18.2,24.0
大寮,高雄市,75,細懸浮微粒,普通,0.34,20.0,21.2,24.6
鳳山,高雄市,72,細懸浮微粒,普通,,26.0,20.0,38.4
仁武,高雄市,82,細懸浮微粒,普通,0.38,26.0,23.9,29.0
橋頭,高雄市,85,細懸浮微粒,普通,0.35,22.0,25.0,21.0
美濃,高雄市,58,細懸浮微粒,普通,0.38,22.0,15.0,12.3
臺南,台南市,71,細懸浮微粒,普通,0.32,20.0,19.9,14.0
安南,台南市,70,細懸浮微粒,普通,0.28,20.0,19.4,10.3
善化,台南市,74,細懸浮微粒,普通,0.24,24.0,20.9,12.2
新營,台南市,67,細懸浮微粒,普通,0.29,17.0,18.4,15.0
嘉義,嘉義市,67,細懸浮微粒,普通,0.39,21.0,18.2,15.2
臺西,雲林縣,59,懸浮微粒,普通,0.27,8.0,10.0,13.3
朴子,嘉義縣,55,懸浮微粒,普通,0.29,11.0,11.0,13.5
新港,嘉義縣,58,懸浮微粒,普通,0.24,19.0,14.3,10.5
崙背,雲林縣,64,細懸浮微粒,普通,0.25,16.0,17.3,11.0
斗六,雲林縣,70,細懸浮微粒,普通,0.31,21.0,19.6,16.9
南投,南投縣,65,細懸浮微粒,普通,0.36,20.0,17.7,20.0
二林,彰化縣,54,懸浮微粒,普通,0.29,8.0,7.3,11.4
線西,彰化縣,29,,良好,0.17,2.0,3.7,10.8
彰化,彰化縣,40,,良好,0.28,10.0,9.9,17.9
西屯,台中市,37,,良好,0.24,7.0,8.7,16.7
忠明,台中市,48,,良好,0.32,12.0,10.9,27.6
大里,台中市,53,懸浮微粒,普通,0.41,17.0,9.6,28.4
沙鹿,台中市,30,,良好,0.19,5.0,6.3,10.8
豐原,台中市,37,,良好,0.26,11.0,9.1,10.8
三義,苗栗縣,29,,良好,0.16,5.0,4.1,4.2
苗栗,苗栗縣,29,,良好,0.21,0.0,4.8,9.1
頭份,苗栗縣,28,,良好,0.21,6.0,6.0,12.3
新竹,新竹市,36,,良好,0.27,8.0,7.0,17.0
竹東,新竹縣,30,,良好,0.17,4.0,3.1,9.3
湖口,新竹縣,38,,良好,0.23,1.0,4.8,17.8
龍潭,桃園市,26,,良好,0.2,3.0,4.1,12.4
平鎮,桃園市,38,,良好,0.31,6.0,9.0,19.3
觀音,桃園市,35,,良好,0.15,6.0,8.7,13.0
大園,桃園市,45,,良好,0.2,6.0,7.3,22.6
桃園,桃園市,40,,良好,0.32,8.0,7.6,19.8
大同,台北市,60,二氧化氮,普通,0.86,8.0,8.7,83.1
松山,台北市,54,二氧化氮,普通,0.26,5.0,9.2,33.0
古亭,台北市,33,,良好,0.24,2.0,5.5,16.9
萬華,台北市,52,二氧化氮,普通,0.29,4.0,7.2,27.3
中山,台北市,52,二氧化氮,普通,0.37,9.0,8.5,30.3
士林,台北市,38,,良好,0.23,5.0,7.3,20.1
淡水,新北市,40,,良好,0.23,7.0,9.0,15.4
林口,新北市,52,二氧化氮,普通,0.27,7.0,8.0,28.0
菜寮,新北市,40,,良好,0.31,2.0,4.5,19.1
新莊,新北市,43,,良好,0.25,3.0,7.4,20.2
板橋,新北市,40,,良好,0.26,5.0,7.5,20.3
土城,新北市,38,,良好,0.29,3.0,4.6,18.1
新店,新北市,43,,良好,0.29,2.0,5.5,20.9
汐止,新北市,52,二氧化氮,普通,0.23,6.0,8.1,26.9
基隆,基隆市,34,,良好,0.16,7.0,7.4,4.4
嘉義（東區）,嘉義市,65,細懸浮微粒,普通,0.27,21.0,17.7,24.2
屏東(枋山),屏東縣,86,細懸浮微粒,普通,0.39,32.0,25.2,14.3
臺南（南化）,台南市,46,,良好,0.28,15.0,11.3,6.4
新北(樹林),新北市,51,二氧化氮,普通,0.3,7.0,10.6,30.6
屏東（琉球）,屏東縣,52,細懸浮微粒,普通,0.24,13.0,12.9,6.7
南投（鹿谷）,南投縣,35,,良好,0.27,13.0,8.7,11.3
高雄（湖內）,高雄市,73,細懸浮微粒,普通,0.26,20.0,20.5,13.2
宜蘭（三星）,宜蘭縣,29,,良好,0.13,3.0,3.3,2.8
林森,台南市,70,細懸浮微粒,普通,0.46,21.0,19.3,18.6
員林,彰化縣,48,,良好,0.32,13.0,12.0,18.1
大城,彰化縣,52,細懸浮微粒,普通,0.22,11.0,13.0,14.3
富貴角,新北市,64,細懸浮微粒,普通,0.07,9.0,17.2,0.8
麥寮,雲林縣,54,懸浮微粒,普通,0.27,9.0,9.8,15.2
關山,台東縣,28,,良好,0.21,4.0,3.1,8.0
馬公,澎湖縣,55,懸浮微粒,普通,0.15,10.0,10.1,2.8
金門,金門縣,85,細懸浮微粒,普通,0.27,25.0,25.0,10.6
馬祖,連江縣,85,細懸浮微粒,普通,0.21,19.0,25.1,7.7
埔里,南投縣,52,細懸浮微粒,普通,0.32,15.0,12.7,7.8
復興,高雄市,67,細懸浮微粒,普通,0.34,18.0,18.4,14.4
永和,新北市,48,,良好,0.31,9.0,9.8,33.8
竹山,南投縣,63,細懸浮微粒,普通,0.26,23.0,17.0,14.0
中壢,桃園市,50,,良好,0.4,6.0,11.9,34.3
三重,新北市,58,二氧化氮,普通,0.77,11.0,11.1,86.7
冬山,宜蘭縣,29,,良好,0.13,4.0,7.2,7.4
宜蘭,宜蘭縣,35,,良好,0.16,9.0,8.7,7.4
陽明,台北市,35,,良好,0.15,1.0,2.3,2.1
花蓮,花蓮縣,24,,良好,0.33,3.0,1.7,12.5
臺東,台東縣,28,,良好,0.22,0.0,2.8,6.2
恆春,屏東縣,35,,良好,0.15,4.0,2.1,1.9
潮州,屏東縣,74,細懸浮微粒,普通,0.3,,20.9,
屏東,屏東縣,75,細懸浮微粒,普通,0.36,23.0,21.1,20.6
小港,高雄市,84,細懸浮微粒,普通,0.37,40.0,24.6,26.3
前鎮,高雄市,64,細懸浮微粒,普通,0.36,21.0,17.1,18.4
前金,高雄市,62,細懸浮微粒,普通,0.28,16.0,16.5,11.2
左營,高雄市,69,細懸浮微粒,普通,0.27,19.0,19.0,12.5
楠梓,高雄市,87,細懸浮微粒,普通,0.38,30.0,25.6,21.1
林園,高雄市,71,細懸浮微粒,普通,0.28,19.0,19.7,16.1
大寮,高雄市,75,細懸浮微粒,普通,0.35,20.0,21.4,26.2
鳳山,高雄市,68,細懸浮微粒,普通,0.57,19.0,18.8,29.3
仁武,高雄市,81,細懸浮微粒,普通,0.33,24.0,23.5,21.3
橋頭,高雄市,88,細懸浮微粒,普通,0.33,28.0,26.0,22.0
美濃,高雄市,55,細懸浮微粒,普通,0.39,17.0,13.9,14.3
臺南,台南市,71,細懸浮微粒,普通,0.27,20.0,19.7,12.3
安南,台南市,69,細懸浮微粒,普通,0.27,20.0,18.9,8.9
善化,台南市,71,細懸浮微粒,普通,0.21,19.0,19.7,10.5
新營,台南市,66,細懸浮微粒,普通,0.27,23.0,18.1,13.9
嘉義,嘉義市,64,細懸浮微粒,普通,0.32,18.0,17.2,13.5
臺西,雲林縣,59,懸浮微粒,普通,0.25,8.0,10.9,13.1
朴子,嘉義縣,54,懸浮微粒,普通,0.21,11.0,10.9,10.2
新港,嘉義縣,57,懸浮微粒,普通,0.22,19.0,12.8,8.6
崙背,雲林縣,64,細懸浮微粒,普通,0.23,15.0,17.2,9.8
斗六,雲林縣,69,細懸浮微粒,普通,0.3,20.0,18.9,15.3
南投,南投縣,64,細懸浮微粒,普通,0.38,21.0,17.2,26.4
二林,彰化縣,57,懸浮微粒,普通,0.2,6.0,7.1,8.9
線西,彰化縣,29,,良好,0.16,1.0,4.3,7.9
彰化,彰化縣,40,,良好,0.25,10.0,10.0,15.3
西屯,台中市,38,,良好,0.23,9.0,9.1,15.8
忠明,台中市,43,,良好,0.34,11.0,10.7,24.0
大里,台中市,48,,良好,0.41,13.0,7.5,26.7
沙鹿,台中市,32,,良好,0.17,3.0,7.3,8.6
豐原,台中市,36,,良好,0.24,9.0,9.0,11.0
三義,苗栗縣,29,,良好,0.16,5.0,4.2,3.4
苗栗,苗栗縣,29,,良好,0.18,2.0,6.1,5.9
頭份,苗栗縣,32,,良好,0.18,5.0,6.5,10.0
新竹,新竹市,30,,良好,0.25,6.0,7.4,14.1
竹東,新竹縣,31,,良好,0.15,0.0,3.1,6.1
湖口,新竹縣,33,,良好,0.22,6.0,5.6,15.5
龍潭,桃園市,27,,良好,0.19,2.0,4.4,12.6
平鎮,桃園市,40,,良好,0.28,7.0,10.0,19.6
觀音,桃園市,38,,良好,0.16,,9.2,15.3
大園,桃園市,54,二氧化氮,普通,0.22,5.0,7.5,32.5
桃園,桃園市,43,,良好,0.29,6.0,7.8,21.2
大同,台北市,59,二氧化氮,普通,0.66,6.0,8.8,72.3
松山,台北市,54,二氧化氮,普通,0.23,6.0,10.0,32.7
古亭,台北市,33,,良好,0.22,2.0,6.5,17.3
萬華,台北市,52,二氧化氮,普通,0.28,6.0,7.9,28.3
中山,台北市,52,二氧化氮,普通,0.3,6.0,8.7,31.7
士林,台北市,36,,良好,0.2,6.0,8.2,19.5
淡水,新北市,43,,良好,0.21,8.0,9.4,20.6
林口,新北市,50,,良好,0.24,6.0,8.1,25.6
菜寮,新北市,36,,良好,0.26,2.0,5.0,17.3
新莊,新北市,40,,良好,0.24,5.0,8.7,20.5
板橋,新北市,45,,良好,0.27,7.0,8.8,22.7
土城,新北市,43,,良好,0.29,4.0,5.0,21.3
新店,新北市,40,,良好,0.25,5.0,6.5,19.1
汐止,新北市,43,,良好,0.19,7.0,8.7,21.0
基隆,基隆市,33,,良好,0.17,7.0,7.4,4.4
嘉義（東區）,嘉義市,63,細懸浮微粒,普通,0.23,18.0,16.8,19.5
屏東(枋山),屏東縣,81,細懸浮微粒,普通,0.37,35.0,23.3,13.1
臺南（南化）,台南市,43,,良好,0.27,9.0,10.7,4.4
新北(樹林),新北市,52,二氧化氮,普通,0.23,11.0,11.5,32.4
屏東（琉球）,屏東縣,53,細懸浮微粒,普通,0.26,14.0,13.3,6.5
南投（鹿谷）,南投縣,30,,良好,0.28,13.0,7.5,9.2
高雄（湖內）,高雄市,71,細懸浮微粒,普通,0.25,21.0,19.7,13.2
宜蘭（三星）,宜蘭縣,29,,良好,0.12,2.0,3.4,2.1
林森,台南市,69,細懸浮微粒,普通,0.35,14.0,19.0,14.2
員林,彰化縣,48,,良好,0.29,11.0,11.8,16.6
大城,彰化縣,54,細懸浮微粒,普通,0.21,14.0,13.6,15.0
富貴角,新北市,68,細懸浮微粒,普通,0.07,14.0,18.8,0.6
麥寮,雲林縣,53,懸浮微粒,普通,0.23,7.0,9.6,12.5
關山,台東縣,28,,良好,0.2,2.0,2.9,6.0
馬公,澎湖縣,55,懸浮微粒,普通,0.15,10.0,11.9,3.0
金門,金門縣,88,細懸浮微粒,普通,0.27,24.0,25.9,9.9
馬祖,連江縣,91,細懸浮微粒,普通,0.23,23.0,27.1,7.6
埔里,南投縣,48,,良好,0.31,19.0,11.9,6.3
復興,高雄市,69,細懸浮微粒,普通,0.42,22.0,19.0,18.4
永和,新北市,52,二氧化氮,普通,0.32,11.0,10.2,42.6
竹山,南投縣,60,懸浮微粒,普通,0.25,17.0,15.2,14.0
中壢,桃園市,52,細懸浮微粒,普通,0.52,9.0,12.9,42.4
三重,新北市,58,二氧化氮,普通,0.72,8.0,11.3,94.4
冬山,宜蘭縣,33,,良好,0.12,6.0,8.1,4.9
宜蘭,宜蘭縣,34,,良好,0.14,12.0,8.4,5.6
陽明,台北市,34,,良好,0.16,2.0,2.6,2.2
花蓮,花蓮縣,24,,良好,0.27,0.0,1.6,10.0
臺東,台東縣,28,,良好,0.22,2.0,3.6,5.6
恆春,屏東縣,35,,良好,0.15,0.0,2.0,1.8
潮州,屏東縣,75,細懸浮微粒,普通,0.45,19.0,21.2,13.5
屏東,屏東縣,73,細懸浮微粒,普通,0.33,25.0,20.6,20.0
小港,高雄市,72,細懸浮微粒,普通,0.37,23.0,20.0,36.3
前鎮,高雄市,61,細懸浮微粒,普通,0.37,21.0,16.3,19.6
前金,高雄市,62,細懸浮微粒,普通,0.3,18.0,16.7,12.9
左營,高雄市,68,細懸浮微粒,普通,0.29,19.0,18.7,14.6
楠梓,高雄市,80,細懸浮微粒,普通,0.39,,23.2,26.3
林園,高雄市,73,細懸浮微粒,普通,0.26,13.0,20.5,15.4
大寮,高雄市,76,細懸浮微粒,普通,0.39,26.0,21.8,27.0
鳳山,高雄市,69,細懸浮微粒,普通,,19.0,18.9,
仁武,高雄市,78,細懸浮微粒,普通,0.36,29.0,22.2,30.5
橋頭,高雄市,85,細懸浮微粒,普通,0.38,31.0,25.0,23.8
美濃,高雄市,53,細懸浮微粒,普通,0.28,16.0,13.3,10.8
臺南,台南市,69,細懸浮微粒,普通,0.27,17.0,19.1,14.2
安南,台南市,69,懸浮微粒,普通,0.27,25.0,18.7,9.9
善化,台南市,70,細懸浮微粒,普通,0.26,26.0,19.6,19.0
新營,台南市,63,細懸浮微粒,普通,0.26,19.0,17.0,12.9
嘉義,嘉義市,62,細懸浮微粒,普通,0.29,19.0,16.4,13.5
臺西,雲林縣,60,懸浮微粒,普通,0.22,10.0,11.8,11.5
朴子,嘉義縣,53,懸浮微粒,普通,0.2,12.0,11.0,8.6
新港,嘉義縣,51,懸浮微粒,普通,0.21,12.0,11.1,8.4
崙背,雲林縣,65,細懸浮微粒,普通,0.25,20.0,17.7,10.1
斗六,雲林縣,68,細懸浮微粒,普通,0.3,21.0,18.6,13.0
南投,南投縣,62,細懸浮微粒,普通,0.42,17.0,16.5,28.4
