sitename,county,aqi,pollutant,status,co,pm2.5,pm2.5_avg,nox
二林,彰化縣,55,懸浮微粒,普通,0.2,7.0,7.4,7.8
線西,彰化縣,32,,良好,0.16,2.0,5.5,7.0
彰化,彰化縣,39,,良好,0.25,8.0,9.6,15.6
西屯,台中市,38,,良好,0.21,9.0,9.1,13.5
忠明,台中市,45,,良好,0.28,9.0,11.1,17.0
大里,台中市,45,,良好,0.37,9.0,6.2,18.9
沙鹿,台中市,34,,良好,0.16,5.0,8.4,6.8
豐原,台中市,34,,良好,0.22,8.0,8.4,9.4
三義,苗栗縣,30,,良好,0.16,3.0,4.4,2.9
苗栗,苗栗縣,30,,良好,0.16,5.0,7.3,5.5
頭份,苗栗縣,35,,良好,0.17,5.0,7.1,9.6
新竹,新竹市,32,,良好,0.21,6.0,8.0,11.7
竹東,新竹縣,31,,良好,0.13,0.0,4.5,4.7
湖口,新竹縣,37,,良好,0.21,3.0,5.5,14.2
龍潭,桃園市,28,,良好,0.17,3.0,4.5,10.3
平鎮,桃園市,45,,良好,0.27,8.0,11.1,19.9
觀音,桃園市,42,,良好,0.15,9.0,9.0,14.6
大園,桃園市,50,,良好,0.19,8.0,7.8,25.2
桃園,桃園市,40,,良好,0.26,6.0,8.4,19.8
大同,台北市,57,二氧化氮,普通,0.59,7.0,9.3,69.5
松山,台北市,54,二氧化氮,普通,0.23,8.0,10.8,33.7
古亭,台北市,40,,良好,0.22,6.0,7.6,20.4
萬華,台北市,48,,良好,0.26,9.0,8.5,24.9
中山,台北市,52,二氧化氮,普通,0.31,7.0,9.8,31.6
士林,台北市,36,,良好,0.2,7.0,8.4,18.1
淡水,新北市,42,,良好,0.19,7.0,9.8,8.7
林口,新北市,50,,良好,0.24,8.0,8.8,28.5
菜寮,新北市,31,,良好,0.26,3.0,6.0,16.0
新莊,新北市,42,,良好,0.22,7.0,9.8,17.7
板橋,新北市,36,,良好,0.27,8.0,8.9,
土城,新北市,36,,良好,0.26,3.0,5.5,18.3
新店,新北市,33,,良好,0.22,6.0,7.0,16.0
汐止,新北市,45,,良好,0.19,7.0,9.5,23.9
基隆,基隆市,33,,良好,0.16,7.0,7.7,5.2
嘉義（東區）,嘉義市,62,細懸浮微粒,普通,0.3,18.0,16.4,29.1
屏東(枋山),屏東縣,72,細懸浮微粒,普通,0.32,27.0,20.3,10.2
臺南（南化）,台南市,46,,良好,0.28,9.0,11.3,4.2
新北(樹林),新北市,49,,良好,0.24,11.0,12.2,29.1
屏東（琉球）,屏東縣,53,細懸浮微粒,普通,0.26,17.0,13.2,6.8
南投（鹿谷）,南投縣,25,,良好,0.3,7.0,6.1,8.3
高雄（湖內）,高雄市,70,細懸浮微粒,普通,0.32,21.0,19.3,18.3
宜蘭（三星）,宜蘭縣,28,,良好,0.12,2.0,3.6,2.0
林森,台南市,71,細懸浮微粒,普通,0.59,26.0,19.7,24.9
員林,彰化縣,46,,良好,0.27,10.0,11.4,16.4
大城,彰化縣,54,細懸浮微粒,普通,0.19,8.0,13.5,14.6
富貴角,新北市,69,細懸浮微粒,普通,0.08,26.0,18.9,0.8
麥寮,雲林縣,52,懸浮微粒,普通,0.26,9.0,9.8,14.6
關山,台東縣,28,,良好,0.19,2.0,3.1,4.8
馬公,澎湖縣,55,懸浮微粒,普通,0.16,7.0,12.7,2.9
金門,金門縣,88,細懸浮微粒,普通,0.29,21.0,26.1,10.0
馬祖,連江縣,94,細懸浮微粒,普通,0.24,23.0,28.2,7.9
埔里,南投縣,41,,良好,0.3,10.0,10.2,6.6
復興,高雄市,67,細懸浮微粒,普通,0.4,,18.2,19.8
永和,新北市,48,,良好,0.3,6.0,10.6,36.7
竹山,南投縣,56,細懸浮微粒,普通,0.26,17.0,14.4,15.9
中壢,桃園市,55,細懸浮微粒,普通,0.46,13.0,13.9,34.5
三重,新北市,57,二氧化氮,普通,0.72,13.0,12.1,75.6
冬山,宜蘭縣,38,,良好,0.12,6.0,9.3,6.1
宜蘭,宜蘭縣,31,,良好,0.14,5.0,7.8,4.1
陽明,台北市,34,,良好,0.16,2.0,2.9,2.6
花蓮,花蓮縣,23,,良好,0.27,0.0,2.2,9.2
臺東,台東縣,28,,良好,0.2,3.0,4.0,5.9
恆春,屏東縣,35,,良好,0.15,0.0,2.5,1.7
潮州,屏東縣,76,細懸浮微粒,普通,0.54,23.0,21.6,19.0
屏東,屏東縣,68,細懸浮微粒,普通,0.35,24.0,18.8,23.0
小港,高雄市,70,細懸浮微粒,普通,0.39,,19.5,24.1
前鎮,高雄市,58,細懸浮微粒,普通,0.37,16.0,15.0,20.3
前金,高雄市,62,細懸浮微粒,普通,0.31,18.0,16.7,16.2
左營,高雄市,66,細懸浮微粒,普通,0.31,24.0,17.8,18.0
楠梓,高雄市,76,細懸浮微粒,普通,0.4,34.0,21.8,25.1
林園,高雄市,76,細懸浮微粒,普通,0.4,16.0,21.7,24.9
大寮,高雄市,72,細懸浮微粒,普通,0.41,24.0,20.2,28.3
鳳山,高雄市,69,細懸浮微粒,普通,0.5,22.0,19.2,30.0
仁武,高雄市,73,細懸浮微粒,普通,0.4,29.0,20.7,34.7
橋頭,高雄市,78,細懸浮微粒,普通,0.4,33.0,22.3,30.0
美濃,高雄市,53,懸浮微粒,普通,0.32,13.0,12.5,15.8
臺南,台南市,69,細懸浮微粒,普通,0.39,29.0,19.2,21.4
安南,台南市,69,懸浮微粒,普通,0.31,21.0,16.9,13.0
善化,台南市,66,細懸浮微粒,普通,0.28,25.0,17.9,17.7
新營,台南市,61,細懸浮微粒,普通,0.31,19.0,16.3,13.6
嘉義,嘉義市,60,懸浮微粒,普通,0.3,22.0,15.5,15.6
臺西,雲林縣,60,懸浮微粒,普通,0.22,10.0,12.3,12.9
朴子,嘉義縣,52,懸浮微粒,普通,0.2,10.0,10.8,8.9
新港,嘉義縣,48,,良好,0.21,11.0,10.7,8.8
崙背,雲林縣,64,細懸浮微粒,普通,0.25,21.0,17.2,9.6
斗六,雲林縣,65,細懸浮微粒,普通,0.28,22.0,17.7,10.8
南投,南投縣,60,細懸浮微粒,普通,0.39,19.0,15.7,25.9
二林,彰化縣,57,懸浮微粒,普通,0.2,5.0,7.7,7.7
線西,彰化縣,33,,良好,0.15,3.0,7.0,6.2
彰化,彰化縣,40,,良好,0.24,11.0,10.0,17.9
西屯,台中市,38,,良好,0.19,7.0,9.3,12.7
忠明,台中市,46,,良好,0.26,10.0,11.5,13.7
大里,台中市,42,,良好,0.37,6.0,5.6,17.9
沙鹿,台中市,36,,良好,0.16,6.0,9.0,7.3
豐原,台中市,33,,良好,0.2,10.0,8.3,6.5
三義,苗栗縣,31,,良好,0.16,1.0,4.9,3.2
苗栗,苗栗縣,33,,良好,0.16,6.0,8.2,5.9
頭份,苗栗縣,38,,良好,0.16,5.0,8.1,8.2
新竹,新竹市,35,,良好,0.2,5.0,8.6,10.5
竹東,新竹縣,31,,良好,0.12,2.0,5.6,4.0
湖口,新竹縣,42,,良好,0.21,5.0,6.1,13.4
龍潭,桃園市,29,,良好,,3.0,5.2,
平鎮,桃園市,46,,良好,0.28,11.0,11.5,17.7
觀音,桃園市,45,,良好,0.15,10.0,9.3,12.2
大園,桃園市,52,懸浮微粒,普通,0.16,7.0,8.1,16.4
桃園,桃園市,43,,良好,0.29,8.0,8.7,22.7
大同,台北市,54,二氧化氮,普通,0.47,8.0,9.7,53.5
松山,台北市,51,細懸浮微粒,普通,0.21,13.0,12.6,
古亭,台北市,40,,良好,0.22,8.0,8.1,23.0
萬華,台北市,43,,良好,0.26,6.0,8.7,22.8
中山,台北市,52,二氧化氮,普通,0.3,9.0,10.3,31.0
士林,台北市,37,,良好,0.18,8.0,8.7,13.3
淡水,新北市,43,,良好,0.21,12.0,10.5,6.5
林口,新北市,43,,良好,0.22,9.0,9.0,24.3
菜寮,新北市,32,,良好,0.25,4.0,6.7,13.6
新莊,新北市,45,,良好,0.22,8.0,10.5,17.6
板橋,新北市,35,,良好,0.26,,8.7,
土城,新北市,35,,良好,0.24,3.0,6.6,15.5
新店,新北市,32,,良好,0.19,5.0,7.8,12.7
汐止,新北市,42,,良好,0.2,8.0,10.3,18.5
基隆,基隆市,38,,良好,0.16,5.0,8.2,4.6
嘉義（東區）,嘉義市,61,細懸浮微粒,普通,0.26,15.0,16.1,20.3
屏東(枋山),屏東縣,66,細懸浮微粒,普通,0.39,23.0,17.9,13.1
臺南（南化）,台南市,45,,良好,0.29,15.0,11.1,5.1
新北(樹林),新北市,49,,良好,0.19,9.0,12.2,17.2
屏東（琉球）,屏東縣,50,,良好,0.26,9.0,12.3,7.7
南投（鹿谷）,南投縣,25,,良好,0.28,7.0,6.2,6.8
高雄（湖內）,高雄市,69,細懸浮微粒,普通,0.35,26.0,18.9,25.4
宜蘭（三星）,宜蘭縣,28,,良好,0.13,5.0,3.8,1.9
林森,台南市,68,細懸浮微粒,普通,0.68,23.0,18.8,25.4
員林,彰化縣,45,,良好,0.28,11.0,11.2,16.3
大城,彰化縣,56,細懸浮微粒,普通,0.19,15.0,14.5,16.5
富貴角,新北市,67,細懸浮微粒,普通,0.09,16.0,18.5,0.9
麥寮,雲林縣,52,懸浮微粒,普通,0.28,12.0,9.8,14.2
關山,台東縣,27,,良好,0.21,3.0,3.4,6.1
馬公,澎湖縣,57,懸浮微粒,普通,0.16,3.0,13.2,3.0
金門,金門縣,91,細懸浮微粒,普通,0.31,27.0,27.0,10.6
馬祖,連江縣,97,細懸浮微粒,普通,0.26,26.0,29.2,8.2
埔里,南投縣,41,,良好,0.32,11.0,10.2,12.6
復興,高雄市,67,細懸浮微粒,普通,0.48,21.0,18.3,26.6
永和,新北市,50,,良好,0.23,9.0,11.9,39.9
竹山,南投縣,54,細懸浮微粒,普通,0.3,21.0,13.6,16.9
中壢,桃園市,54,細懸浮微粒,普通,0.62,15.0,13.7,45.3
三重,新北市,61,懸浮微粒,普通,0.78,12.0,12.2,104.4
冬山,宜蘭縣,42,,良好,0.13,5.0,10.3,7.8
宜蘭,宜蘭縣,33,,良好,0.16,7.0,8.3,4.2
陽明,台北市,34,,良好,0.16,2.0,3.7,2.3
花蓮,花蓮縣,23,,良好,0.3,2.0,3.1,9.8
臺東,台東縣,27,,良好,0.26,4.0,3.7,7.8
恆春,屏東縣,35,,良好,0.16,3.0,2.7,1.8
潮州,屏東縣,72,細懸浮微粒,普通,0.68,27.0,20.1,27.3
屏東,屏東縣,66,細懸浮微粒,普通,0.37,24.0,18.1,20.7
小港,高雄市,68,細懸浮微粒,普通,0.38,23.0,18.8,30.1
前鎮,高雄市,57,細懸浮微粒,普通,0.38,17.0,14.8,24.2
前金,高雄市,59,細懸浮微粒,普通,0.31,19.0,15.6,18.4
左營,高雄市,62,細懸浮微粒,普通,0.32,22.0,16.5,20.3
楠梓,高雄市,67,細懸浮微粒,普通,0.41,32.0,18.4,23.4
林園,高雄市,77,細懸浮微粒,普通,0.57,32.0,22.0,42.2
大寮,高雄市,71,細懸浮微粒,普通,0.5,25.0,19.7,36.1
鳳山,高雄市,64,細懸浮微粒,普通,0.6,22.0,17.2,32.4
仁武,高雄市,67,細懸浮微粒,普通,0.4,28.0,18.3,35.7
橋頭,高雄市,71,細懸浮微粒,普通,0.41,33.0,19.8,27.3
美濃,高雄市,50,,良好,0.37,17.0,12.1,17.4
臺南,台南市,64,細懸浮微粒,普通,0.39,22.0,17.2,23.1
安南,台南市,71,懸浮微粒,普通,0.32,19.0,15.9,14.6
善化,台南市,62,細懸浮微粒,普通,0.27,18.0,16.7,14.4
新營,台南市,59,細懸浮微粒,普通,0.31,16.0,15.6,13.1
嘉義,嘉義市,59,懸浮微粒,普通,0.35,17.0,14.5,17.8
臺西,雲林縣,60,懸浮微粒,普通,0.26,12.0,12.1,16.4
朴子,嘉義縣,51,懸浮微粒,普通,0.22,10.0,10.6,9.6
新港,嘉義縣,47,,良好,0.21,9.0,10.9,9.6
崙背,雲林縣,62,細懸浮微粒,普通,0.23,14.0,16.6,9.4
斗六,雲林縣,63,細懸浮微粒,普通,0.26,18.0,16.9,9.8
南投,南投縣,57,細懸浮微粒,普通,0.39,19.0,14.6,25.6
二林,彰化縣,58,懸浮微粒,普通,0.19,5.0,8.5,7.3
線西,彰化縣,35,,良好,0.15,3.0,7.5,6.9
彰化,彰化縣,39,,良好,0.27,8.0,9.7,19.2
西屯,台中市,40,,良好,0.19,6.0,9.8,12.3
忠明,台中市,45,,良好,0.24,10.0,11.2,13.3
大里,台中市,40,,良好,0.35,4.0,5.6,16.8
沙鹿,台中市,39,,良好,0.16,9.0,9.7,7.3
豐原,台中市,32,,良好,0.19,9.0,8.0,5.1
三義,苗栗縣,31,,良好,0.16,2.0,5.6,3.7
苗栗,苗栗縣,37,,良好,0.16,6.0,9.1,6.9
頭份,苗栗縣,43,,良好,0.17,6.0,8.5,10.1
新竹,新竹市,42,,良好,0.22,8.0,9.2,12.6
竹東,新竹縣,31,,良好,0.12,3.0,7.2,3.9
湖口,新竹縣,47,,良好,0.22,6.0,6.6,13.7
龍潭,桃園市,30,,良好,0.15,,6.2,6.6
平鎮,桃園市,48,,良好,0.3,12.0,11.8,20.1
觀音,桃園市,51,懸浮微粒,普通,0.14,8.0,9.5,11.0
大園,桃園市,45,,良好,0.16,6.0,9.2,16.2
桃園,桃園市,43,,良好,0.32,8.0,9.2,21.9
大同,台北市,54,二氧化氮,普通,0.57,8.0,10.5,55.2
松山,台北市,52,細懸浮微粒,普通,0.2,,12.7,17.2
古亭,台北市,45,,良好,0.18,6.0,8.5,23.5
萬華,台北市,48,,良好,0.28,8.0,9.4,24.9
中山,台北市,48,,良好,0.32,10.0,10.7,27.5
士林,台北市,40,,良好,0.18,11.0,9.2,16.1
淡水,新北市,42,,良好,0.2,8.0,10.1,6.7
林口,新北市,43,,良好,0.22,7.0,9.4,19.5
菜寮,新北市,33,,良好,0.26,4.0,7.6,14.5
新莊,新北市,51,懸浮微粒,普通,0.23,10.0,11.3,17.4
板橋,新北市,45,,良好,0.32,10.0,9.4,23.1
土城,新北市,37,,良好,0.21,,7.4,11.6
新店,新北市,37,,良好,0.19,5.0,8.2,10.2
汐止,新北市,44,,良好,0.21,8.0,10.8,17.7
基隆,基隆市,42,,良好,0.16,5.0,9.0,4.4
嘉義（東區）,嘉義市,62,細懸浮微粒,普通,0.23,17.0,16.4,17.7
屏東(枋山),屏東縣,62,細懸浮微粒,普通,0.33,22.0,16.7,12.3
臺南（南化）,台南市,42,,良好,0.28,12.0,10.5,5.8
新北(樹林),新北市,54,細懸浮微粒,普通,0.21,11.0,13.5,22.4
屏東（琉球）,屏東縣,52,細懸浮微粒,普通,0.27,16.0,12.7,10.4
南投（鹿谷）,南投縣,24,,良好,0.33,4.0,6.0,6.9
高雄（湖內）,高雄市,65,細懸浮微粒,普通,0.36,17.0,17.5,30.4
宜蘭（三星）,宜蘭縣,27,,良好,0.14,3.0,3.1,2.1
林森,台南市,65,細懸浮微粒,普通,0.64,22.0,17.6,30.1
員林,彰化縣,45,,良好,0.28,11.0,11.2,15.7
大城,彰化縣,56,細懸浮微粒,普通,0.27,14.0,14.2,18.7
富貴角,新北市,69,細懸浮微粒,普通,0.08,18.0,19.0,0.9
麥寮,雲林縣,51,懸浮微粒,普通,0.24,7.0,9.6,11.4
關山,台東縣,27,,良好,0.22,2.0,3.6,7.0
馬公,澎湖縣,58,懸浮微粒,普通,0.16,20.0,14.7,3.0
金門,金門縣,91,細懸浮微粒,普通,0.31,32.0,27.0,11.2
馬祖,連江縣,99,細懸浮微粒,普通,0.28,33.0,29.9,7.9
埔里,南投縣,42,,良好,0.37,11.0,10.4,15.6
復興,高雄市,65,細懸浮微粒,普通,0.49,23.0,17.7,26.0
永和,新北市,55,二氧化氮,普通,0.31,11.0,12.8,56.2
竹山,南投縣,48,,良好,0.27,12.0,11.8,16.4
中壢,桃園市,56,細懸浮微粒,普通,0.62,10.0,14.2,49.9
三重,新北市,62,懸浮微粒,普通,0.8,,13.1,93.2
冬山,宜蘭縣,45,,良好,0.24,7.0,11.1,14.6
宜蘭,宜蘭縣,35,,良好,0.17,7.0,8.6,4.4
陽明,台北市,34,,良好,,2.0,4.5,
花蓮,花蓮縣,23,,良好,0.31,3.0,3.1,10.8
臺東,台東縣,28,,良好,0.27,5.0,3.7,9.3
恆春,屏東縣,35,,良好,0.16,3.0,2.7,1.8
潮州,屏東縣,67,細懸浮微粒,普通,0.75,27.0,18.2,28.7
屏東,屏東縣,62,細懸浮微粒,普通,0.43,21.0,16.5,23.0
小港,高雄市,66,細懸浮微粒,普通,0.36,20.0,17.8,25.4
前鎮,高雄市,60,細懸浮微粒,普通,0.4,,15.7,23.9
前金,高雄市,55,細懸浮微粒,普通,0.31,19.0,14.0,21.0
左營,高雄市,59,細懸浮微粒,普通,0.32,21.0,15.3,20.2
楠梓,高雄市,59,細懸浮微粒,普通,0.36,21.0,15.5,21.0
林園,高雄市,72,細懸浮微粒,普通,0.71,27.0,20.2,46.8
大寮,高雄市,66,細懸浮微粒,普通,0.51,27.0,18.1,44.3
鳳山,高雄市,60,細懸浮微粒,普通,0.62,,15.8,35.7
仁武,高雄市,62,細懸浮微粒,普通,0.38,18.0,16.4,30.5
橋頭,高雄市,62,細懸浮微粒,普通,0.37,25.0,16.7,23.2
美濃,高雄市,45,,良好,0.37,16.0,10.8,13.0
臺南,台南市,61,細懸浮微粒,普通,0.37,19.0,16.0,21.8
安南,台南市,67,懸浮微粒,普通,0.3,,14.5,13.4
善化,台南市,60,細懸浮微粒,普通,0.26,21.0,15.7,13.3
新營,台南市,58,細懸浮微粒,普通,0.31,18.0,15.2,13.8
嘉義,嘉義市,57,懸浮微粒,普通,0.34,14.0,14.1,19.3
臺西,雲林縣,59,懸浮微粒,普通,0.3,13.0,12.0,15.5
朴子,嘉義縣,48,,良好,0.22,11.0,11.1,9.2
新港,嘉義縣,45,,良好,0.21,9.0,11.2,9.1
崙背,雲林縣,62,細懸浮微粒,普通,0.26,19.0,16.7,10.4
斗六,雲林縣,60,細懸浮微粒,普通,0.24,21.0,15.7,9.8
南投,南投縣,54,細懸浮微粒,普通,0.39,19.0,13.5,26.8
二林,彰化縣,59,懸浮微粒,普通,0.19,7.0,9.0,6.7
線西,彰化縣,38,,良好,0.16,7.0,7.9,7.9
彰化,彰化縣,42,,良好,0.28,7.0,10.4,18.9
西屯,台中市,42,,良好,0.2,8.0,10.5,12.7
忠明,台中市,45,,良好,0.24,13.0,11.2,14.7
大里,台中市,42,,良好,0.33,4.0,5.8,17.2
沙鹿,台中市,41,,良好,0.16,9.0,10.2,8.3
豐原,台中市,30,,良好,0.2,4.0,7.4,5.6
三義,苗栗縣,31,,良好,0.16,4.0,6.1,4.0
苗栗,苗栗縣,38,,良好,0.17,7.0,9.5,6.9
頭份,苗栗縣,45,,良好,0.17,6.0,9.0,9.8
新竹,新竹市,43,,良好,0.24,8.0,9.6,14.4
竹東,新竹縣,33,,良好,0.12,5.0,8.1,4.1
湖口,新竹縣,50,,良好,0.18,3.0,6.8,10.0
龍潭,桃園市,35,,良好,0.16,0.0,6.9,7.9
平鎮,桃園市,47,,良好,,12.0,11.7,
觀音,桃園市,53,懸浮微粒,普通,0.15,7.0,9.9,9.5
大園,桃園市,41,,良好,0.17,6.0,10.1,18.0
桃園,桃園市,43,,良好,0.33,8.0,9.3,22.1
大同,台北市,55,二氧化氮,普通,0.53,8.0,11.7,56.6
松山,台北市,52,細懸浮微粒,普通,0.22,9.0,12.9,28.1
古亭,台北市,51,二氧化氮,普通,0.21,6.0,9.0,44.4
萬華,台北市,52,二氧化氮,普通,0.3,9.0,9.3,28.9
中山,台北市,54,二氧化氮,普通,0.35,11.0,11.4,35.9
士林,台北市,45,,良好,0.19,6.0,9.3,16.3
淡水,新北市,48,,良好,0.18,9.0,10.6,7.3
林口,新北市,47,,良好,0.22,9.0,10.3,22.3
菜寮,新北市,38,,良好,0.31,5.0,8.8,18.4
新莊,新北市,53,懸浮微粒,普通,0.25,10.0,11.9,18.3
板橋,新北市,45,,良好,0.31,6.0,10.1,23.1
土城,新北市,42,,良好,0.24,5.0,8.1,16.3
新店,新北市,40,,良好,0.2,6.0,8.9,9.6
汐止,新北市,47,,良好,0.23,12.0,11.6,24.6
基隆,基隆市,47,,良好,0.16,7.0,10.2,5.0
嘉義（東區）,嘉義市,62,細懸浮微粒,普通,0.22,17.0,16.6,18.6
屏東(枋山),屏東縣,62,懸浮微粒,普通,0.29,17.0,16.1,11.6
臺南（南化）,台南市,40,,良好,0.25,14.0,10.0,5.4
新北(樹林),新北市,53,細懸浮微粒,普通,0.22,13.0,13.2,27.6
屏東（琉球）,屏東縣,49,,良好,0.27,12.0,12.2,13.3
南投（鹿谷）,南投縣,26,,良好,0.29,5.0,6.4,6.7
高雄（湖內）,高雄市,64,細懸浮微粒,普通,0.32,22.0,17.2,21.2
宜蘭（三星）,宜蘭縣,27,,良好,0.15,3.0,3.1,2.1
林森,台南市,60,細懸浮微粒,普通,0.48,22.0,15.8,23.8
員林,彰化縣,47,,良好,0.26,8.0,11.7,14.6
大城,彰化縣,55,細懸浮微粒,普通,0.2,12.0,13.8,13.6
富貴角,新北市,72,細懸浮微粒,普通,0.08,12.0,20.2,0.9
麥寮,雲林縣,51,懸浮微粒,普通,0.29,7.0,10.2,12.9
關山,台東縣,27,,良好,0.22,3.0,4.1,7.2
馬公,澎湖縣,60,懸浮微粒,普通,0.17,14.0,14.3,3.1
金門,金門縣,86,細懸浮微粒,普通,0.32,25.0,25.3,11.8
馬祖,連江縣,97,細懸浮微粒,普通,0.29,31.0,29.3,7.8
埔里,南投縣,42,,良好,0.35,9.0,10.5,11.4
復興,高雄市,62,細懸浮微粒,普通,0.47,20.0,16.4,31.0
永和,新北市,57,二氧化氮,普通,0.31,13.0,13.0,65.8
竹山,南投縣,48,,良好,0.25,15.0,11.9,14.2
中壢,桃園市,58,細懸浮微粒,普通,0.57,15.0,15.1,44.9
三重,新北市,61,懸浮微粒,普通,0.86,11.0,12.6,
冬山,宜蘭縣,47,,良好,0.32,12.0,11.7,19.0
宜蘭,宜蘭縣,36,,良好,0.17,9.0,8.9,4.2
陽明,台北市,34,,良好,0.15,2.0,4.8,2.3
花蓮,花蓮縣,24,,良好,0.33,3.0,3.0,12.1
臺東,台東縣,28,,良好,0.27,5.0,3.8,8.6
恆春,屏東縣,35,,良好,0.16,3.0,2.7,2.0
潮州,屏東縣,62,細懸浮微粒,普通,0.62,24.0,16.6,17.7
屏東,屏東縣,58,細懸浮微粒,普通,0.47,15.0,15.1,21.2
小港,高雄市,65,細懸浮微粒,普通,0.4,23.0,17.5,57.9
前鎮,高雄市,59,細懸浮微粒,普通,0.43,16.0,15.5,32.2
前金,高雄市,53,細懸浮微粒,普通,0.35,18.0,13.3,22.0
左營,高雄市,56,細懸浮微粒,普通,0.33,15.0,14.5,20.0
楠梓,高雄市,55,細懸浮微粒,普通,0.3,21.0,13.9,23.7
林園,高雄市,68,細懸浮微粒,普通,0.42,22.0,18.8,28.9
大寮,高雄市,59,細懸浮微粒,普通,0.41,18.0,15.5,30.5
鳳山,高雄市,60,細懸浮微粒,普通,0.73,22.0,15.7,49.9
仁武,高雄市,61,細懸浮微粒,普通,0.43,23.0,16.0,41.5
橋頭,高雄市,57,細懸浮微粒,普通,0.31,16.0,14.8,22.3
美濃,高雄市,42,,良好,0.41,13.0,9.3,11.0
臺南,台南市,58,細懸浮微粒,普通,0.34,21.0,14.9,20.5
